Row,f_0_48828,f_0_61035,f_0_73242,f_0_85449,f_0_97656,f_1_0986,f_1_3428,f_1_5869,f_1_9531,f_2_3193,f_2_6855,f_3_1738,f_3_7842,f_4_3945,f_5_249,f_6_2256,f_7_3242,f_8_667,f_10_2539,f_12_085,f_14_2822,f_16_9678,f_20_0195
270122_AD_01,330107.556503145,311114.414564012,278929.473926438,206737.893098113,199832.001721875,180266.464845385,75821.2263646448,52271.9712006852,25507.772105022,14090.3992719384,10880.9256577826,6376.99489749975,4125.37778727952,2179.36919534561,1998.92103436842,1723.67479197511,1191.70163643315,924.917110677545,597.493465317062,445.389528445239,334.348500950431,221.64277121899,119.594490301826
270122_AD_02,2316.67207280638,2183.94486809935,1889.98113483468,1491.62639287415,1444.49752679562,1144.57546818696,616.092079623117,359.677172108067,242.600667573912,188.168893683075,139.488085156771,96.1090654854246,63.8876220220344,43.8967328816253,26.9437763316202,15.6953829460775,9.80473407385745,6.6254881871848,3.78659525984925,2.24316794562941,1.40710236834644,0.811651645803596,0.545843795102018
270122_AD_03,218.353144359407,206.472457702252,188.949186569833,167.756518213067,169.826623474921,160.523161336168,122.287330000596,100.643917853646,75.3976410429528,58.4060986557309,47.2587540083033,36.8879943656035,27.5924831998452,21.9737726405949,17.8857542272851,13.3384012483156,9.40192490372573,6.63864255111303,4.72824348343574,3.44125662771798,2.46824663606947,1.54978804822936,1.03714108395416
270122_AD_04,175.387077134812,171.732368557977,166.666804128756,154.677637486431,157.084790213918,154.280428524787,138.67182838609,129.435706447689,119.74114587836,115.099808703093,104.826210729126,99.5755152247879,98.4486712250436,95.1713387901864,85.2523634532016,70.223324500421,66.6083636918202,67.850946486904,62.3942611447575,57.8164532173182,48.9540815371783,37.0256984276538,26.2275450707498
270122_AD_08,4.17430170137109,4.07401659579248,3.83663589208525,3.43166083584493,3.47157995792918,3.29015874271466,2.73949693907393,2.48460613049883,2.2199630970208,2.11136290525937,2.07976419655549,2.00184340067499,1.84887977139206,1.74604629178965,1.64686449054857,1.64666185295027,1.74109104914317,1.81363660612226,1.54044184130998,1.48840240123951,1.41459032298579,1.37045591572027,1.25975223137814
270122_AD_09,2.52379323729588,2.4304351391049,2.23531872901277,1.66908775701591,1.55038652878719,1.15588013598601,0.681887973490159,0.519055959896391,0.404127305535343,0.365546570943478,0.331108671269185,0.293120918418127,0.260049917368347,0.245072984229471,0.204522850406923,0.162722326227017,0.142949011582093,0.118890883255906,0.102066551505731,0.0791056203359833,0.0665761307083262,0.0547955388288582,0.0536508632321722
270122_AD_10,163438.556999748,152006.721976592,139038.275988199,91342.9074216781,84366.3022792975,64703.249248317,14041.8259237524,6491.34399140776,2358.6111459332,1265.09527083294,750.703644622924,535.469133329769,460.8590700262,403.015445783978,354.244692207126,282.180906927727,212.657385852484,198.148852051852,196.004058061353,173.431855556245,179.093347237942,143.984637540461,110.524651499454
270122_AD_11,3.40032145965403,3.26749334354208,3.04344716652717,2.2520000493496,2.11528885648441,1.62088297672131,0.999716488891133,0.814336100522112,0.693260358371269,0.620660186089252,0.567401066617731,0.547896340823118,0.463292464240128,0.417013417350797,0.381796998836491,0.356482904710356,0.345454229636632,0.348364500842214,0.391087303325801,0.394118165307165,0.424706366371485,0.446478693245302,0.491865663401473
270122_AD_12,11.0836671648625,10.6227182714228,8.81195531165601,7.20241895286245,6.87758025103848,5.34396846242442,2.91764109527195,1.88908561412404,1.19548159715644,1.04459349350869,0.884998099083716,0.681585398608391,0.531134618015841,0.443806391744159,0.395632884937451,0.335385022105814,0.269833820248126,0.218093763323878,0.191306661864493,0.124113150001883,0.0844360303125577,0.0693490118824423,0.0661091500581135
270122_AD_13,2.79841003671333,2.67015265374887,2.41640526292118,2.0977701533895,2.07771061785986,1.92921441778654,1.39313436747712,1.11204223864771,0.82802286944774,0.731573942243187,0.648972476007228,0.551246881234168,0.452468330562177,0.378020521518959,0.294744786704708,0.245290721551577,0.201971726978877,0.168380990804726,0.135768851715229,0.101872112413249,0.0826584334223537,0.0622231494384659,0.0648544242504513
270122_AD_14,3.90016585090131,3.73437419361819,3.49977078339233,2.83743925950718,2.75923264473346,2.44276652436337,1.65759850654651,1.42109094714607,1.0473624578272,0.863778337647413,0.737802269655327,0.652510377635248,0.542380131360434,0.469986969356159,0.395379977336056,0.31086918202169,0.245141878871529,0.192628590371269,0.161937428432873,0.11931620242777,0.0988652316944754,0.0777880918292067,0.0763162372635428
270122_AD_15,17.2461962805084,15.8804305469457,14.70559529483,11.4842434512106,10.9106643897752,8.76767688993567,4.79139716149738,2.96376450572932,1.90736849706461,1.26842037614137,1.07052430670409,0.860608859087865,0.6661311114212,0.542504971426935,0.370909889454848,0.30002906061212,0.259566676190635,0.194510099507017,0.144641053274871,0.125117628216046,0.0801686464464964,0.0586545749787197,0.0620579928457332
270122_AD_16,14749.3410767607,13358.9497678819,11966.4815920899,9908.09250017466,9638.14638958543,8588.8044144225,5519.36510508462,3782.9152301562,2663.19907858655,1931.04704205908,1497.1580151256,1195.72870398077,926.472990778079,799.039343885193,600.416363044626,480.299347640775,385.247958523757,336.180833114653,216.8943274963,152.965198154548,117.266780698542,105.942775574538,73.0719822111173
270122_AD_17,75.277018687238,74.3525043583571,59.0084059736367,42.31819655974,40.7824094205968,29.6034581206244,7.87248587590399,5.27440228224917,3.92131264195593,3.16219465192304,2.87347215032387,2.70983244545287,2.7596789081892,2.82403825811068,3.17296997204706,3.76213065574869,4.55850091957184,5.40380649122555,6.09214122508289,9.31229497081518,9.99020013145592,10.0971018856213,11.8479421485656
